country,ventilation,group,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
0,0,All,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,1,female,1.000026822,1.00012517,1.000026822,0.999928474,1.000026822,0.999830127,0.999830127,1.00012517,0.999928474,1.00012517,1.000026822,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,1,male,1.00001944,1.00001944,1.000090718,0.999805604,0.999948161,1.000090718,0.999948161,1.000090718,0.999948161,1.00001944,1.00001944,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,15-24,1.00005681,1.000265111,1.00005681,0.999848508,1.00005681,0.999640206,0.999640206,1.000265111,0.999848508,1.000265111,1.00005681,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,25-34,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,1.001133305,0.999886669,0.999886669,0.999886669,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,35-44,1.000118203,0.999793144,0.999955674,0.999955674,1.000118203,1.000118203,0.999793144,0.999955674,1.000118203,0.999955674,1.000118203,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,45-54,1.000173199,1.000173199,1.000173199,0.999901029,1.000173199,1.000173199,0.999901029,1.000173199,1.000173199,0.999901029,0.999084521,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,55-64,0.999636298,1.003637025,1.003637025,0.999636298,0.997635934,0.997635934,0.997635934,0.999636298,0.999636298,0.997635934,1.003637025,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,65+,1.000326158,0.99853229,1.000326158,0.99853229,1.000326158,1.002120026,1.000326158,0.99853229,1.000326158,1.000326158,1.000326158,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
1,0,All,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,1,female,1.000030223,1.000141042,1.000030223,0.999919404,1.000030223,0.999808585,0.999808585,1.000141042,0.999919404,1.000141042,1.000030223,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,1,male,1.000021881,1.000021881,1.000102112,0.999781188,0.99994165,1.000102112,0.99994165,1.000102112,0.99994165,1.000021881,1.000021881,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,15-24,1.00006481,1.000302448,1.00006481,0.999827173,1.00006481,0.999589535,0.999589535,1.000302448,0.999827173,1.000302448,1.00006481,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,25-34,0.999869089,0.999869089,0.999869089,0.999869089,0.999869089,0.999869089,0.999869089,1.001309115,0.999869089,0.999869089,0.999869089,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,35-44,1.000131236,0.999770337,0.999950787,0.999950787,1.000131236,1.000131236,0.999770337,0.999950787,1.000131236,0.999950787,1.000131236,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,45-54,1.000187688,1.000187688,1.000187688,0.99989275,1.000187688,1.000187688,0.99989275,1.000187688,1.000187688,0.99989275,0.999007937,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,55-64,0.999602465,1.003975353,1.003975353,0.999602465,0.997416021,0.997416021,0.997416021,0.999602465,0.999602465,0.997416021,1.003975353,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
1,2,65+,1.000345066,0.998447205,1.000345066,0.998447205,1.000345066,1.002242926,1.000345066,0.998447205,1.000345066,1.000345066,1.000345066,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
2,0,All,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,1,female,1.000909091,0.995909091,0.998409091,0.998409091,1.003409091,1.000909091,0.998409091,1.000909091,1.003409091,1.003409091,0.995909091,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,1,male,1.001380671,1.001380671,1.001380671,1.001380671,1.001380671,0.99704142,0.99704142,1.001380671,1.001380671,0.999211045,0.99704142,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,15-24,1.002173913,0.990217391,0.996195652,0.996195652,1.008152174,1.002173913,0.996195652,1.002173913,1.008152174,1.008152174,0.990217391,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,25-34,1.010054462,0.991621282,1.010054462,1.010054462,0.991621282,0.991621282,0.991621282,1.010054462,0.991621282,1.010054462,0.991621282,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,35-44,1.001643655,1.001643655,0.990795529,1.001643655,1.001643655,1.001643655,0.990795529,1.001643655,1.005259698,1.001643655,1.001643655,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,45-54,1.000363372,1.000363372,1.000363372,0.996366279,1.000363372,0.996366279,0.996366279,1.004360465,1.004360465,1.000363372,1.000363372,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,55-64,1,1,1,1,1,1,1,1,1,1,1,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
2,2,65+,0.985422741,0.985422741,0.985422741,0.95335277,1.017492711,1.017492711,1.017492711,0.985422741,1.017492711,1.017492711,1.017492711,1.000327869,0.99852459,0.99942623,0.99942623,1.001229508,1.000327869,0.99942623,1.000327869,1.001229508,1.001229508,0.99852459
3,0,All,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,1,female,0.997444969,0.998525943,1.000687893,1.000687893,1.000687893,1.000687893,1.000687893,0.999606918,1.000687893,0.999606918,1.000687893,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,1,male,0.999271137,0.999271137,0.999271137,0.999271137,1.000728863,1,0.999271137,1.000728863,1.000728863,1.000728863,1.000728863,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,15-24,0.994984568,0.997106481,1.001350309,1.001350309,1.001350309,1.001350309,1.001350309,0.999228395,1.001350309,0.999228395,1.001350309,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,25-34,0.99884058,0.99884058,0.99884058,0.99884058,0.99884058,0.99884058,0.99884058,1.011594203,0.99884058,0.99884058,0.99884058,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,35-44,0.998499062,1.000562852,0.998499062,1.000562852,1.000562852,0.998499062,0.998499062,1.000562852,1.002626642,0.998499062,1.002626642,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,45-54,0.994271686,0.994271686,0.998772504,0.998772504,1.003273322,1.003273322,0.998772504,1.003273322,1.003273322,1.003273322,0.998772504,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,55-64,0.997446809,1.006808511,0.997446809,0.997446809,1.006808511,0.997446809,0.997446809,0.997446809,0.997446809,1.006808511,0.997446809,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
3,2,65+,1.001851852,1.001851852,1.001851852,0.981481481,1.001851852,1.001851852,1.001851852,1.001851852,1.001851852,1.001851852,1.001851852,0.999024024,0.999436937,1.000262763,1.000262763,1.000262763,1.000262763,1.000262763,0.99984985,1.000262763,0.99984985,1.000262763
