country,count,housing,income,jobs,community,education,environment,governance,health,satisfaction,safety,balance,housing0,housing1,housing2,housing3,housing4,housing5,income0,income1,income2,income3,income4,income5,jobs0,jobs1,jobs2,jobs3,jobs4,jobs5,community0,community1,community2,community3,community4,community5,education0,education1,education2,education3,education4,education5,environment0,environment1,environment2,environment3,environment4,environment5,governance0,governance1,governance2,governance3,governance4,governance5,health0,health1,health2,health3,health4,health5,satisfaction0,satisfaction1,satisfaction2,satisfaction3,satisfaction4,satisfaction5,safety0,safety1,safety2,safety3,safety4,safety5,balance0,balance1,balance2,balance3,balance4,balance5
FRA,2311,1.00593667,0.877439936,0.978756442,0.974843129,1.134021873,1.066913429,0.747547799,1.184097333,1.113704053,0.868953152,1.047786183,0.012115967,0.073561229,0.118563392,0.342276071,0.270445695,0.183037646,0.021635656,0.120726958,0.198615318,0.35742103,0.181306794,0.120294245,0.01947209,0.101254868,0.11120727,0.308957161,0.273474686,0.185633925,0.015577672,0.112938122,0.145391605,0.280398096,0.213760277,0.231934228,0.009952402,0.078753786,0.061012549,0.195586326,0.276936391,0.377758546,0.011250541,0.088706188,0.11683254,0.221981826,0.242752055,0.31847685,0.035482475,0.235395932,0.225010818,0.270445695,0.129813933,0.103851147,0.008221549,0.06404154,0.054954565,0.1683254,0.286023367,0.418433579,0.011250541,0.083946344,0.08481177,0.203807875,0.244482908,0.371700563,0.019904803,0.170921679,0.179575941,0.291215924,0.188662916,0.149718736,0.01254868,0.105149286,0.099524016,0.252271744,0.216789269,0.313717006
USA,1757,0.919290945,0.926814449,0.972256019,0.924950179,1.106531637,1.010723178,0.789730539,1.114548093,1.204468705,0.962637003,1.068049253,0.012521343,0.142857143,0.125213432,0.302219693,0.210017075,0.207171315,0.016505407,0.139442231,0.125213432,0.317017644,0.200910643,0.200910643,0.014228799,0.135458167,0.083096187,0.253272624,0.274900398,0.239043825,0.014228799,0.162777462,0.12179852,0.238474673,0.207171315,0.255549232,0.010813887,0.108138873,0.049516221,0.157655094,0.231644849,0.442231076,0.015367103,0.132612408,0.080819579,0.207740467,0.221969266,0.341491178,0.02618099,0.230506545,0.180421172,0.250426864,0.158793398,0.15367103,0.008537279,0.105293113,0.043255549,0.143995447,0.263517359,0.435401252,0.006260672,0.09277177,0.030734206,0.09277177,0.208309619,0.569151964,0.017074559,0.150256118,0.083096187,0.232783153,0.253272624,0.263517359,0.016505407,0.125782584,0.080819579,0.163346614,0.198064883,0.415480933
DEU,1015,0.930914514,0.880905338,0.952392663,0.934409381,1.117937555,1.055286105,0.754119252,1.137361156,1.182403427,0.973505596,1.080765013,0.01773399,0.096551724,0.123152709,0.309359606,0.283743842,0.169458128,0.020689655,0.105418719,0.174384236,0.349753695,0.20591133,0.143842365,0.015763547,0.093596059,0.116256158,0.264039409,0.329064039,0.181280788,0.013793103,0.117241379,0.123152709,0.287684729,0.230541872,0.227586207,0.00591133,0.071921182,0.051231527,0.174384236,0.327093596,0.369458128,0.008866995,0.075862069,0.092610837,0.218719212,0.275862069,0.328078818,0.026600985,0.187192118,0.218719212,0.322167488,0.153694581,0.091625616,0.008866995,0.0591133,0.043349754,0.161576355,0.290640394,0.436453202,0.008866995,0.056157635,0.049261084,0.141871921,0.242364532,0.501477833,0.01773399,0.095566502,0.105418719,0.265024631,0.258128079,0.258128079,0.012807882,0.068965517,0.082758621,0.212807882,0.264039409,0.35862069
ITA,930,0.943538975,0.871462144,1.011462301,0.950970001,1.078604008,1.058413657,0.864556187,1.130584525,1.10100653,0.959132959,1.030268713,0.012903226,0.092473118,0.125806452,0.292473118,0.264516129,0.211827957,0.011827957,0.131182796,0.137634409,0.33655914,0.219354839,0.16344086,0.006451613,0.101075269,0.078494624,0.24516129,0.295698925,0.27311828,0.006451613,0.113978495,0.101075269,0.276344086,0.239784946,0.262365591,0.006451613,0.084946237,0.062365591,0.169892473,0.23655914,0.439784946,0.007526882,0.087096774,0.077419355,0.167741935,0.253763441,0.406451613,0.015053763,0.176344086,0.119354839,0.252688172,0.2,0.23655914,0.006451613,0.078494624,0.02688172,0.16344086,0.253763441,0.470967742,0.010752688,0.083870968,0.05483871,0.149462366,0.196774194,0.504301075,0.007526882,0.121505376,0.093548387,0.253763441,0.267741935,0.255913978,0.009677419,0.098924731,0.08172043,0.208602151,0.209677419,0.391397849
CAN,681,0.957125986,0.958869676,0.98576632,0.910406796,1.106284171,0.977628695,0.790674631,1.126506501,1.148461757,1.007034927,1.031240539,0.008810573,0.140969163,0.082232012,0.296622614,0.218795888,0.25256975,0.008810573,0.152716593,0.079295154,0.283406755,0.221732746,0.254038179,0.008810573,0.143906021,0.07195301,0.207048458,0.295154185,0.273127753,0.010279001,0.182085169,0.101321586,0.251101322,0.215859031,0.239353891,0.004405286,0.126284875,0.032305433,0.151248164,0.234948605,0.450807636,0.008810573,0.164464023,0.069016153,0.221732746,0.215859031,0.320117474,0.016152717,0.256975037,0.139500734,0.259911894,0.162995595,0.164464023,0.008810573,0.12041116,0.022026432,0.104258443,0.22907489,0.515418502,0.002936858,0.139500734,0.026431718,0.101321586,0.211453744,0.51835536,0.004405286,0.165932452,0.066079295,0.176211454,0.24082232,0.346549192,0.014684288,0.136563877,0.052863436,0.214390602,0.193832599,0.387665198
GBR,489,0.983663215,0.927357161,1.016233267,0.905006892,1.070170289,1.013054522,0.747258678,1.138786001,1.195987777,0.925331512,1.077150687,0.022494888,0.137014315,0.08997955,0.284253579,0.267893661,0.198364008,0.022494888,0.169734151,0.112474438,0.323108384,0.192229039,0.1799591,0.012269939,0.151329243,0.08793456,0.257668712,0.249488753,0.241308793,0.014314928,0.208588957,0.149284254,0.218813906,0.208588957,0.200408998,0.016359918,0.159509202,0.067484663,0.155419223,0.245398773,0.355828221,0.006134969,0.157464213,0.108384458,0.222903885,0.231083845,0.27402863,0.038854806,0.290388548,0.165644172,0.263803681,0.132924335,0.108384458,0.00204499,0.134969325,0.040899796,0.159509202,0.257668712,0.404907975,0.010224949,0.128834356,0.026584867,0.09406953,0.251533742,0.488752556,0.010224949,0.218813906,0.120654397,0.243353783,0.196319018,0.210633947,0.012269939,0.159509202,0.069529652,0.1799591,0.196319018,0.382413088
AUT,473,0.995001232,0.898902565,0.96097683,0.879956798,1.006042744,1.102134749,0.728158565,1.179686654,1.143444223,1.080813447,1.024882194,0.006342495,0.067653277,0.114164905,0.291754757,0.243128964,0.276955603,0.012684989,0.078224101,0.169133192,0.361522199,0.241014799,0.137420719,0.016913319,0.078224101,0.086680761,0.304439746,0.317124736,0.196617336,0.012684989,0.11627907,0.181818182,0.302325581,0.207188161,0.179704017,0.006342495,0.099365751,0.11205074,0.192389006,0.262156448,0.32769556,0.006342495,0.076109937,0.044397463,0.181818182,0.266384778,0.424947146,0.029598309,0.198731501,0.221987315,0.315010571,0.147991543,0.086680761,0,0.057082452,0.023255814,0.158562368,0.21987315,0.541226216,0.00422833,0.065539112,0.033826638,0.171247357,0.238900634,0.486257928,0.00422833,0.073995772,0.078224101,0.202959831,0.234672304,0.405919662,0.012684989,0.073995772,0.11627907,0.22410148,0.196617336,0.376321353
AUS,451,0.986010354,0.926878142,0.968526951,0.962682593,1.077457299,1.019958032,0.819757514,1.116173848,1.13116488,0.973801854,1.017588532,0.026607539,0.192904656,0.064301552,0.239467849,0.206208426,0.270509978,0.013303769,0.237250554,0.095343681,0.250554324,0.164079823,0.239467849,0.015521064,0.215077605,0.062084257,0.22172949,0.228381375,0.257206208,0.00443459,0.235033259,0.093126386,0.195121951,0.188470067,0.283813747,0.006651885,0.208425721,0.039911308,0.124168514,0.188470067,0.432372506,0.00886918,0.22172949,0.057649667,0.155210643,0.186252772,0.370288248,0.028824834,0.301552106,0.133037694,0.188470067,0.152993348,0.195121951,0.006651885,0.199556541,0.015521064,0.11751663,0.199556541,0.461197339,0.013303769,0.186252772,0.019955654,0.12195122,0.177383592,0.481152993,0.006651885,0.241685144,0.077605322,0.179600887,0.188470067,0.305986696,0.015521064,0.21286031,0.075388027,0.170731707,0.159645233,0.365853659
MEX,425,0.956167348,1.007723673,1.004744771,0.893593871,1.153813327,0.93973308,0.859786549,1.060914197,1.117678048,1.00231035,1.003534786,0.018823529,0.197647059,0.096470588,0.258823529,0.197647059,0.230588235,0.007058824,0.216470588,0.082352941,0.2,0.216470588,0.277647059,0.011764706,0.214117647,0.058823529,0.176470588,0.237647059,0.301176471,0.018823529,0.251764706,0.12,0.230588235,0.155294118,0.223529412,0.007058824,0.183529412,0.051764706,0.103529412,0.16,0.494117647,0.016470588,0.24,0.084705882,0.183529412,0.185882353,0.289411765,0.007058824,0.315294118,0.101176471,0.230588235,0.141176471,0.204705882,0.009411765,0.195294118,0.058823529,0.141176471,0.209411765,0.385882353,0.018823529,0.192941176,0.025882353,0.112941176,0.162352941,0.487058824,0.018823529,0.235294118,0.054117647,0.136470588,0.183529412,0.371764706,0.011764706,0.221176471,0.058823529,0.2,0.157647059,0.350588235
CHE,316,0.913125485,0.986976628,0.951891872,0.923812811,1.069578507,1.040644589,0.713792716,1.150034668,1.146319798,1.007865549,1.095957377,0.03164557,0.142405063,0.101265823,0.268987342,0.265822785,0.189873418,0.018987342,0.110759494,0.132911392,0.243670886,0.205696203,0.287974684,0.025316456,0.123417722,0.082278481,0.259493671,0.300632911,0.208860759,0.009493671,0.151898734,0.158227848,0.268987342,0.208860759,0.202531646,0.009493671,0.126582278,0.060126582,0.170886076,0.243670886,0.389240506,0.012658228,0.123417722,0.069620253,0.202531646,0.253164557,0.338607595,0.041139241,0.284810127,0.189873418,0.221518987,0.151898734,0.110759494,0.003164557,0.101265823,0.025316456,0.151898734,0.268987342,0.449367089,0.006329114,0.107594937,0.034810127,0.151898734,0.212025316,0.487341772,0.009493671,0.136075949,0.098101266,0.231012658,0.215189873,0.310126582,0.012658228,0.123417722,0.056962025,0.212025316,0.196202532,0.398734177
ESP,314,0.941364192,0.889971652,1.02687917,0.915322412,1.128784557,1.003621693,0.833516452,1.155111069,1.119805425,0.973674216,1.011949162,0.025477707,0.136942675,0.105095541,0.257961783,0.242038217,0.232484076,0.022292994,0.127388535,0.143312102,0.334394904,0.200636943,0.171974522,0.012738854,0.121019108,0.092356688,0.194267516,0.334394904,0.24522293,0.022292994,0.156050955,0.111464968,0.257961783,0.238853503,0.213375796,0.006369427,0.117834395,0.035031847,0.127388535,0.270700637,0.442675159,0.00955414,0.130573248,0.066878981,0.242038217,0.267515924,0.28343949,0.025477707,0.203821656,0.133757962,0.289808917,0.171974522,0.175159236,0.006369427,0.114649682,0.031847134,0.095541401,0.257961783,0.493630573,0.00955414,0.114649682,0.035031847,0.178343949,0.251592357,0.410828025,0.025477707,0.140127389,0.060509554,0.194267516,0.334394904,0.24522293,0.022292994,0.124203822,0.066878981,0.210191083,0.248407643,0.328025478
BEL,272,1.020431354,0.94649211,0.997494156,0.896817704,1.11155615,1.029125577,0.713286419,1.16831513,1.160082688,0.966062756,0.990335954,0.022058824,0.077205882,0.069852941,0.220588235,0.371323529,0.238970588,0.014705882,0.113970588,0.125,0.279411765,0.283088235,0.183823529,0.011029412,0.117647059,0.073529412,0.246323529,0.330882353,0.220588235,0.018382353,0.147058824,0.136029412,0.297794118,0.235294118,0.165441176,0.011029412,0.084558824,0.058823529,0.143382353,0.286764706,0.415441176,0.011029412,0.088235294,0.128676471,0.1875,0.238970588,0.345588235,0.040441176,0.224264706,0.238970588,0.238970588,0.158088235,0.099264706,0.011029412,0.069852941,0.029411765,0.128676471,0.257352941,0.503676471,0.014705882,0.0625,0.044117647,0.143382353,0.242647059,0.492647059,0.025735294,0.088235294,0.113970588,0.279411765,0.235294118,0.257352941,0.018382353,0.125,0.084558824,0.216911765,0.264705882,0.290441176
PRT,271,0.93951087,0.988009315,1.047998683,0.878469352,1.04381915,0.996287009,0.846007365,1.05479162,1.142807882,1.014487505,1.047811249,0.007380074,0.188191882,0.092250923,0.291512915,0.236162362,0.184501845,0.011070111,0.158671587,0.099630996,0.236162362,0.250922509,0.243542435,0.011070111,0.158671587,0.055350554,0.191881919,0.291512915,0.291512915,0.022140221,0.188191882,0.095940959,0.302583026,0.232472325,0.158671587,0.018450185,0.166051661,0.014760148,0.169741697,0.26199262,0.36900369,0.018450185,0.158671587,0.055350554,0.232472325,0.239852399,0.295202952,0.014760148,0.225092251,0.118081181,0.291512915,0.195571956,0.15498155,0.014760148,0.15498155,0.018450185,0.132841328,0.335793358,0.343173432,0.014760148,0.132841328,0.05904059,0.088560886,0.236162362,0.468634686,0.018450185,0.15498155,0.033210332,0.21402214,0.254612546,0.324723247,0.022140221,0.140221402,0.044280443,0.162361624,0.250922509,0.380073801
TUR,246,0.95007709,1.00269074,0.972324411,0.921758568,1.081489806,0.992291369,0.852966517,1.090831473,1.058566781,1.066037214,1.010966031,0.020325203,0.280487805,0.069105691,0.227642276,0.191056911,0.211382114,0.024390244,0.243902439,0.105691057,0.150406504,0.231707317,0.243902439,0.036585366,0.264227642,0.073170732,0.158536585,0.199186992,0.268292683,0.024390244,0.31300813,0.093495935,0.170731707,0.138211382,0.260162602,0.028455285,0.243902439,0.040650407,0.12601626,0.166666667,0.394308943,0.024390244,0.260162602,0.101626016,0.12601626,0.182926829,0.304878049,0.028455285,0.349593496,0.150406504,0.211382114,0.06504065,0.195121951,0.020325203,0.219512195,0.089430894,0.105691057,0.182926829,0.382113821,0.028455285,0.24796748,0.06097561,0.093495935,0.170731707,0.398373984,0.012195122,0.260162602,0.056910569,0.191056911,0.150406504,0.329268293,0.024390244,0.292682927,0.081300813,0.130081301,0.162601626,0.308943089
JPN,191,0.977639185,0.914298875,0.989811137,0.919105112,1.059460882,0.974547108,0.764966675,1.079892355,1.104510377,1.179112061,1.036656233,0.02617801,0.188481675,0.136125654,0.261780105,0.188481675,0.19895288,0.015706806,0.230366492,0.130890052,0.287958115,0.178010471,0.157068063,0.010471204,0.214659686,0.09947644,0.246073298,0.214659686,0.214659686,0.005235602,0.235602094,0.183246073,0.256544503,0.151832461,0.167539267,0.005235602,0.214659686,0.062827225,0.183246073,0.214659686,0.319371728,0.010471204,0.214659686,0.130890052,0.22513089,0.219895288,0.19895288,0.020942408,0.335078534,0.219895288,0.246073298,0.083769634,0.094240838,0.010471204,0.209424084,0.057591623,0.115183246,0.277486911,0.329842932,0.005235602,0.209424084,0.047120419,0.178010471,0.209424084,0.35078534,0.005235602,0.188481675,0.020942408,0.136125654,0.235602094,0.413612565,0.010471204,0.22513089,0.094240838,0.183246073,0.188481675,0.298429319
HUN,185,1.000821641,0.936876607,0.971266946,0.960658289,1.060130837,1.04287173,0.784669842,1.091144625,1.103773951,1.058026143,0.989759387,0.010810811,0.124324324,0.07027027,0.281081081,0.324324324,0.189189189,0.010810811,0.135135135,0.140540541,0.275675676,0.27027027,0.167567568,0.005405405,0.145945946,0.118918919,0.232432432,0.302702703,0.194594595,0.005405405,0.145945946,0.118918919,0.275675676,0.254054054,0.2,0.005405405,0.12972973,0.075675676,0.2,0.286486486,0.302702703,0.010810811,0.124324324,0.075675676,0.189189189,0.308108108,0.291891892,0.010810811,0.27027027,0.167567568,0.254054054,0.2,0.097297297,0.005405405,0.135135135,0.048648649,0.156756757,0.286486486,0.367567568,0.005405405,0.12972973,0.075675676,0.156756757,0.227027027,0.405405405,0.005405405,0.12972973,0.048648649,0.227027027,0.335135135,0.254054054,0.005405405,0.162162162,0.097297297,0.205405405,0.221621622,0.308108108
RUS,176,1.016667353,0.999760503,1.105242336,0.979403928,1.248116751,0.97624131,0.676017389,0.992503351,1.041354978,0.913877748,1.050814353,0.142045455,0.147727273,0.198863636,0.210227273,0.125,0.176136364,0.090909091,0.204545455,0.198863636,0.221590909,0.119318182,0.164772727,0.073863636,0.181818182,0.181818182,0.215909091,0.159090909,0.1875,0.079545455,0.278409091,0.232954545,0.181818182,0.113636364,0.113636364,0.051136364,0.176136364,0.221590909,0.130681818,0.1875,0.232954545,0.079545455,0.295454545,0.159090909,0.181818182,0.102272727,0.181818182,0.113636364,0.477272727,0.170454545,0.113636364,0.051136364,0.073863636,0.090909091,0.295454545,0.113636364,0.119318182,0.130681818,0.25,0.085227273,0.284090909,0.119318182,0.113636364,0.125,0.272727273,0.090909091,0.329545455,0.130681818,0.136363636,0.130681818,0.181818182,0.068181818,0.272727273,0.170454545,0.181818182,0.130681818,0.176136364
