country,count,housing,income,jobs,community,education,environment,governance,health,satisfaction,safety,balance,housing0,housing1,housing2,housing3,housing4,housing5,income0,income1,income2,income3,income4,income5,jobs0,jobs1,jobs2,jobs3,jobs4,jobs5,community0,community1,community2,community3,community4,community5,education0,education1,education2,education3,education4,education5,environment0,environment1,environment2,environment3,environment4,environment5,governance0,governance1,governance2,governance3,governance4,governance5,health0,health1,health2,health3,health4,health5,satisfaction0,satisfaction1,satisfaction2,satisfaction3,satisfaction4,satisfaction5,safety0,safety1,safety2,safety3,safety4,safety5,balance0,balance1,balance2,balance3,balance4,balance5
BRA,156,0.967865549,0.903781781,0.958465243,0.882189071,1.160412671,1.022124497,0.809737041,1.115960851,1.153239349,1.023251414,1.002972532,0.025641026,0.141025641,0.096153846,0.307692308,0.243589744,0.185897436,0.032051282,0.192307692,0.115384615,0.282051282,0.179487179,0.198717949,0.019230769,0.185897436,0.096153846,0.269230769,0.211538462,0.217948718,0.025641026,0.205128205,0.147435897,0.301282051,0.141025641,0.179487179,0.032051282,0.128205128,0.019230769,0.128205128,0.16025641,0.532051282,0.006410256,0.192307692,0.070512821,0.275641026,0.198717949,0.256410256,0.025641026,0.269230769,0.173076923,0.224358974,0.134615385,0.173076923,0.019230769,0.153846154,0.051282051,0.115384615,0.211538462,0.448717949,0.025641026,0.147435897,0.044871795,0.173076923,0.185897436,0.423076923,0.038461538,0.16025641,0.083333333,0.192307692,0.134615385,0.391025641,0.012820513,0.185897436,0.083333333,0.243589744,0.16025641,0.314102564
CHL,149,0.975669679,0.910256243,1.011176969,0.933960327,1.185165369,1.002250759,0.873243842,1.07133853,1.089398884,0.916895065,1.030644333,0.033557047,0.167785235,0.127516779,0.268456376,0.167785235,0.234899329,0.020134228,0.261744966,0.161073826,0.201342282,0.134228188,0.22147651,0.033557047,0.187919463,0.120805369,0.174496644,0.214765101,0.268456376,0.020134228,0.268456376,0.087248322,0.194630872,0.167785235,0.261744966,0.013422819,0.201342282,0.040268456,0.073825503,0.167785235,0.503355705,0.026845638,0.248322148,0.046979866,0.147651007,0.161073826,0.369127517,0.020134228,0.302013423,0.087248322,0.255033557,0.120805369,0.214765101,0.006711409,0.22147651,0.080536913,0.127516779,0.161073826,0.402684564,0.013422819,0.208053691,0.093959732,0.11409396,0.127516779,0.44295302,0.040268456,0.248322148,0.093959732,0.201342282,0.174496644,0.241610738,0.013422819,0.241610738,0.080536913,0.147651007,0.120805369,0.395973154
NZL,142,0.935547791,0.901898025,0.95927651,0.968298314,1.058569932,1.084693365,0.799734111,1.144563731,1.114285474,1.006909785,1.026222962,0.063380282,0.11971831,0.084507042,0.274647887,0.225352113,0.232394366,0.028169014,0.190140845,0.14084507,0.274647887,0.161971831,0.204225352,0.014084507,0.218309859,0.077464789,0.190140845,0.246478873,0.253521127,0.021126761,0.183098592,0.091549296,0.23943662,0.211267606,0.253521127,0.028169014,0.154929577,0.063380282,0.154929577,0.309859155,0.288732394,0.014084507,0.176056338,0.028169014,0.147887324,0.23943662,0.394366197,0.021126761,0.23943662,0.197183099,0.288732394,0.112676056,0.14084507,0.007042254,0.154929577,0.028169014,0.105633803,0.309859155,0.394366197,0.028169014,0.161971831,0.028169014,0.063380282,0.190140845,0.528169014,0.007042254,0.190140845,0.091549296,0.232394366,0.169014085,0.309859155,0.042253521,0.169014085,0.028169014,0.147887324,0.232394366,0.38028169
SWE,138,0.889851175,0.867621886,0.937449272,0.940057854,1.071773601,1.112820488,0.855614319,1.094369403,1.100652868,1.012118841,1.117670294,0.028985507,0.108695652,0.108695652,0.239130435,0.31884058,0.195652174,0.02173913,0.108695652,0.130434783,0.326086957,0.231884058,0.18115942,0.02173913,0.115942029,0.065217391,0.18115942,0.369565217,0.246376812,0.007246377,0.115942029,0.108695652,0.210144928,0.326086957,0.231884058,0.014492754,0.072463768,0.036231884,0.137681159,0.31884058,0.420289855,0.007246377,0.072463768,0.043478261,0.137681159,0.268115942,0.471014493,0.014492754,0.188405797,0.086956522,0.217391304,0.253623188,0.239130435,0.014492754,0.086956522,0.043478261,0.079710145,0.260869565,0.514492754,0.014492754,0.072463768,0.065217391,0.086956522,0.246376812,0.514492754,0.02173913,0.094202899,0.072463768,0.210144928,0.260869565,0.34057971,0.007246377,0.094202899,0.057971014,0.152173913,0.268115942,0.420289855
DNK,126,0.961459181,0.908478238,0.987567812,0.862942591,1.142797284,1.023188992,0.799390814,1.11474706,1.207590466,0.979279907,1.012557655,0.007936508,0.119047619,0.087301587,0.317460317,0.301587302,0.166666667,0.023809524,0.111111111,0.150793651,0.357142857,0.19047619,0.166666667,0.007936508,0.126984127,0.055555556,0.293650794,0.293650794,0.222222222,0.007936508,0.158730159,0.158730159,0.30952381,0.23015873,0.134920635,0,0.079365079,0.047619048,0.19047619,0.261904762,0.420634921,0,0.134920635,0.103174603,0.214285714,0.23015873,0.317460317,0.015873016,0.206349206,0.174603175,0.285714286,0.19047619,0.126984127,0,0.079365079,0.055555556,0.174603175,0.341269841,0.349206349,0,0.087301587,0.031746032,0.126984127,0.222222222,0.531746032,0,0.111111111,0.134920635,0.277777778,0.23015873,0.246031746,0,0.126984127,0.095238095,0.222222222,0.253968254,0.301587302
NLD,123,0.988775931,0.923259144,0.952842193,0.871046669,1.069453929,1.036874166,0.799693505,1.067804396,1.166307001,0.963188992,1.160754074,0.032520325,0.073170732,0.073170732,0.235772358,0.268292683,0.317073171,0.024390244,0.113821138,0.113821138,0.333333333,0.162601626,0.25203252,0.024390244,0.081300813,0.073170732,0.325203252,0.276422764,0.219512195,0.040650407,0.12195122,0.113821138,0.292682927,0.227642276,0.203252033,0.032520325,0.081300813,0.040650407,0.138211382,0.333333333,0.37398374,0.024390244,0.081300813,0.073170732,0.154471545,0.268292683,0.398373984,0.032520325,0.170731707,0.203252033,0.25203252,0.138211382,0.203252033,0.032520325,0.06504065,0.048780488,0.162601626,0.308943089,0.382113821,0.008130081,0.056910569,0.016260163,0.18699187,0.260162602,0.471544715,0.024390244,0.113821138,0.089430894,0.25203252,0.25203252,0.268292683,0,0.073170732,0.048780488,0.211382114,0.211382114,0.455284553
KOR,121,1.001267431,0.9855152,0.98273044,0.920920552,1.045967984,0.975040334,0.8455175,1.061075887,1.092881959,1.073991076,1.015091637,0.016528926,0.289256198,0.074380165,0.26446281,0.157024793,0.198347107,0.008264463,0.272727273,0.132231405,0.214876033,0.214876033,0.157024793,0,0.314049587,0.082644628,0.239669421,0.165289256,0.198347107,0.033057851,0.314049587,0.123966942,0.148760331,0.190082645,0.190082645,0.008264463,0.280991736,0.090909091,0.181818182,0.132231405,0.305785124,0.008264463,0.297520661,0.107438017,0.198347107,0.140495868,0.247933884,0.033057851,0.355371901,0.157024793,0.190082645,0.082644628,0.181818182,0.008264463,0.280991736,0.05785124,0.115702479,0.256198347,0.280991736,0.024793388,0.272727273,0.041322314,0.123966942,0.165289256,0.371900826,0,0.289256198,0.066115702,0.115702479,0.239669421,0.289256198,0.008264463,0.297520661,0.115702479,0.157024793,0.140495868,0.280991736
POL,121,1.007116178,0.930565175,0.958921712,0.930809151,1.027437253,1.011986466,0.817301031,0.995034085,1.223433667,0.997646447,1.099748834,0.016528926,0.223140496,0.090909091,0.272727273,0.165289256,0.231404959,0.041322314,0.239669421,0.165289256,0.231404959,0.082644628,0.239669421,0.016528926,0.239669421,0.115702479,0.231404959,0.181818182,0.214876033,0.041322314,0.231404959,0.123966942,0.247933884,0.148760331,0.20661157,0.041322314,0.190082645,0.107438017,0.157024793,0.198347107,0.305785124,0.016528926,0.231404959,0.140495868,0.181818182,0.099173554,0.330578512,0.049586777,0.355371901,0.165289256,0.115702479,0.115702479,0.198347107,0.033057851,0.223140496,0.099173554,0.198347107,0.115702479,0.330578512,0.024793388,0.181818182,0.033057851,0.123966942,0.20661157,0.429752066,0.033057851,0.223140496,0.099173554,0.165289256,0.214876033,0.26446281,0.016528926,0.198347107,0.066115702,0.223140496,0.157024793,0.338842975
THA,116,0.922702449,1.025001135,0.889286299,0.83481578,1.058032053,1.11737966,0.754991837,1.131875897,1.119215438,1.112989457,1.033709996,0.00862069,0.025862069,0.172413793,0.353448276,0.172413793,0.267241379,0.00862069,0.017241379,0.086206897,0.336206897,0.181034483,0.370689655,0.017241379,0.060344828,0.137931034,0.344827586,0.215517241,0.224137931,0.025862069,0.051724138,0.189655172,0.379310345,0.181034483,0.172413793,0,0.034482759,0.068965517,0.232758621,0.25862069,0.405172414,0.00862069,0,0.043103448,0.206896552,0.275862069,0.465517241,0.017241379,0.103448276,0.267241379,0.336206897,0.129310345,0.146551724,0,0.00862069,0.025862069,0.25862069,0.224137931,0.482758621,0.00862069,0.00862069,0.060344828,0.206896552,0.189655172,0.525862069,0.00862069,0,0.068965517,0.206896552,0.206896552,0.50862069,0.00862069,0.00862069,0.112068966,0.267241379,0.189655172,0.413793103
IND,112,1.058612557,1.000928198,0.950128964,0.837359851,1.100983442,1.024197664,0.794230717,1.026599854,1.154366434,1.044978117,1.007614201,0.017857143,0.142857143,0.107142857,0.214285714,0.285714286,0.232142857,0.017857143,0.142857143,0.133928571,0.142857143,0.276785714,0.285714286,0.026785714,0.178571429,0.080357143,0.214285714,0.267857143,0.232142857,0.026785714,0.214285714,0.151785714,0.241071429,0.196428571,0.169642857,0.026785714,0.125,0.053571429,0.116071429,0.258928571,0.419642857,0.026785714,0.142857143,0.089285714,0.151785714,0.267857143,0.321428571,0.026785714,0.258928571,0.196428571,0.151785714,0.1875,0.178571429,0.026785714,0.160714286,0.053571429,0.142857143,0.205357143,0.410714286,0.026785714,0.133928571,0.026785714,0.089285714,0.133928571,0.589285714,0.017857143,0.205357143,0.053571429,0.196428571,0.160714286,0.366071429,0.026785714,0.160714286,0.098214286,0.169642857,0.196428571,0.348214286
CHN,106,0.918537797,1.088990475,1.035748464,0.923223673,1.039803161,0.98475557,0.786708676,1.083596758,1.071998513,1.070547507,0.996089406,0.028301887,0.29245283,0.150943396,0.198113208,0.169811321,0.160377358,0.018867925,0.264150943,0.08490566,0.226415094,0.188679245,0.216981132,0.018867925,0.216981132,0.150943396,0.179245283,0.198113208,0.235849057,0.018867925,0.245283019,0.179245283,0.245283019,0.226415094,0.08490566,0.028301887,0.226415094,0.08490566,0.188679245,0.20754717,0.264150943,0.018867925,0.273584906,0.113207547,0.122641509,0.216981132,0.254716981,0.066037736,0.330188679,0.179245283,0.226415094,0.113207547,0.08490566,0.018867925,0.235849057,0.103773585,0.094339623,0.160377358,0.386792453,0.018867925,0.245283019,0.08490566,0.160377358,0.150943396,0.339622642,0.009433962,0.235849057,0.094339623,0.179245283,0.169811321,0.311320755,0.009433962,0.264150943,0.122641509,0.198113208,0.160377358,0.245283019
FIN,96,0.910388822,0.859473458,0.867151106,0.915554656,1.11434918,1.139340708,0.894820064,1.145241665,1.111970404,1.03659196,1.005117979,0.020833333,0.09375,0.15625,0.21875,0.364583333,0.145833333,0.03125,0.114583333,0.145833333,0.375,0.208333333,0.125,0.041666667,0.09375,0.104166667,0.385416667,0.21875,0.15625,0.010416667,0.104166667,0.21875,0.229166667,0.197916667,0.239583333,0.010416667,0.072916667,0.052083333,0.135416667,0.302083333,0.427083333,0,0.0625,0.041666667,0.15625,0.385416667,0.354166667,0.010416667,0.09375,0.208333333,0.28125,0.21875,0.1875,0,0.083333333,0.052083333,0.083333333,0.3125,0.46875,0.020833333,0.072916667,0.0625,0.114583333,0.197916667,0.53125,0,0.114583333,0.072916667,0.145833333,0.385416667,0.28125,0.010416667,0.145833333,0.0625,0.166666667,0.270833333,0.34375
ISR,79,0.974243893,0.946129586,0.998097132,0.9454806,1.270877704,0.888767693,0.788070608,1.226461714,1.086692396,0.932797114,0.94238156,0.075949367,0.17721519,0.088607595,0.227848101,0.189873418,0.240506329,0.063291139,0.215189873,0.088607595,0.202531646,0.189873418,0.240506329,0.050632911,0.189873418,0.113924051,0.189873418,0.253164557,0.202531646,0.025316456,0.278481013,0.151898734,0.215189873,0.139240506,0.189873418,0.012658228,0.189873418,0.075949367,0.139240506,0.139240506,0.443037975,0.075949367,0.240506329,0.113924051,0.17721519,0.139240506,0.253164557,0.063291139,0.341772152,0.126582278,0.215189873,0.113924051,0.139240506,0.025316456,0.17721519,0.063291139,0.126582278,0.215189873,0.392405063,0.050632911,0.215189873,0.075949367,0.113924051,0.164556962,0.379746835,0.063291139,0.253164557,0.063291139,0.139240506,0.227848101,0.253164557,0.088607595,0.227848101,0.063291139,0.126582278,0.139240506,0.35443038
SVK,68,0.962067312,0.960086212,0.980991746,0.904485362,0.91569557,1.099158715,0.728660129,1.136617582,1.08661543,1.158196824,1.067425119,0,0.161764706,0.132352941,0.323529412,0.279411765,0.102941176,0.014705882,0.161764706,0.147058824,0.294117647,0.191176471,0.191176471,0.044117647,0.191176471,0.044117647,0.191176471,0.308823529,0.220588235,0,0.220588235,0.205882353,0.220588235,0.205882353,0.147058824,0.044117647,0.132352941,0.147058824,0.338235294,0.176470588,0.161764706,0.029411765,0.132352941,0.058823529,0.161764706,0.279411765,0.338235294,0.014705882,0.338235294,0.235294118,0.205882353,0.102941176,0.102941176,0.014705882,0.161764706,0.058823529,0.161764706,0.191176471,0.411764706,0,0.176470588,0.073529412,0.161764706,0.235294118,0.352941176,0,0.147058824,0.029411765,0.205882353,0.191176471,0.426470588,0,0.117647059,0.117647059,0.25,0.294117647,0.220588235
ROU,67,0.954984463,0.988434257,0.967560432,0.931052136,1.130507333,0.941577562,0.836156029,1.047320298,1.110037523,1.033481177,1.058888789,0.044776119,0.194029851,0.029850746,0.28358209,0.208955224,0.23880597,0.014925373,0.208955224,0.089552239,0.208955224,0.23880597,0.23880597,0.014925373,0.208955224,0.119402985,0.223880597,0.164179104,0.268656716,0.029850746,0.208955224,0.149253731,0.208955224,0.149253731,0.253731343,0.044776119,0.134328358,0.089552239,0.134328358,0.134328358,0.462686567,0.029850746,0.208955224,0.149253731,0.134328358,0.223880597,0.253731343,0.014925373,0.388059701,0.119402985,0.164179104,0.119402985,0.194029851,0.029850746,0.208955224,0.044776119,0.149253731,0.164179104,0.402985075,0.029850746,0.194029851,0.059701493,0.179104478,0.089552239,0.447761194,0.014925373,0.194029851,0.074626866,0.223880597,0.149253731,0.343283582,0.014925373,0.194029851,0.089552239,0.179104478,0.194029851,0.328358209
NOR,66,0.973211902,1.048549561,1.000635856,0.922984169,1.035183574,0.997302256,0.761110351,1.079980776,1.153762939,1.024735485,1.002543129,0.015151515,0.196969697,0.075757576,0.227272727,0.181818182,0.303030303,0.015151515,0.196969697,0.136363636,0.318181818,0.121212121,0.212121212,0.015151515,0.166666667,0.090909091,0.212121212,0.227272727,0.287878788,0.015151515,0.227272727,0.121212121,0.136363636,0.272727273,0.227272727,0.015151515,0.181818182,0.075757576,0.136363636,0.212121212,0.378787879,0.045454545,0.166666667,0.090909091,0.151515152,0.166666667,0.378787879,0.045454545,0.227272727,0.242424242,0.227272727,0.136363636,0.121212121,0.03030303,0.151515152,0.015151515,0.151515152,0.257575758,0.393939394,0.03030303,0.121212121,0.075757576,0.121212121,0.166666667,0.484848485,0.015151515,0.196969697,0.060606061,0.136363636,0.227272727,0.363636364,0.045454545,0.181818182,0.03030303,0.212121212,0.151515152,0.378787879
CZE,61,0.981193046,0.971522075,0.975978949,0.855710804,1.049083452,1.070767771,0.795453351,1.155457822,1.124235508,0.984499564,1.036097658,0,0.131147541,0.098360656,0.278688525,0.295081967,0.196721311,0,0.131147541,0.06557377,0.409836066,0.180327869,0.213114754,0,0.114754098,0.049180328,0.426229508,0.229508197,0.180327869,0.016393443,0.245901639,0.114754098,0.196721311,0.213114754,0.213114754,0,0.131147541,0.049180328,0.213114754,0.262295082,0.344262295,0.016393443,0.098360656,0.032786885,0.196721311,0.295081967,0.360655738,0.032786885,0.213114754,0.131147541,0.295081967,0.229508197,0.098360656,0,0.098360656,0.081967213,0.114754098,0.229508197,0.475409836,0,0.098360656,0.049180328,0.196721311,0.180327869,0.475409836,0,0.131147541,0.131147541,0.262295082,0.114754098,0.360655738,0,0.147540984,0.081967213,0.229508197,0.196721311,0.344262295
GRC,61,0.9756746,0.998461073,1.075047765,0.858393648,1.146320802,0.999146702,0.758073452,1.115401358,1.147844331,1.012457114,0.913179154,0,0.081967213,0.049180328,0.475409836,0.229508197,0.163934426,0.032786885,0.06557377,0.06557377,0.31147541,0.213114754,0.31147541,0.016393443,0.06557377,0.098360656,0.081967213,0.344262295,0.393442623,0.016393443,0.180327869,0.081967213,0.37704918,0.180327869,0.163934426,0,0.06557377,0.081967213,0.131147541,0.213114754,0.508196721,0.016393443,0.098360656,0.06557377,0.278688525,0.229508197,0.31147541,0.032786885,0.229508197,0.131147541,0.327868852,0.114754098,0.163934426,0,0.081967213,0.049180328,0.114754098,0.360655738,0.393442623,0,0.06557377,0.049180328,0.163934426,0.262295082,0.459016393,0.016393443,0.06557377,0.098360656,0.278688525,0.245901639,0.295081967,0.032786885,0.147540984,0.06557377,0.295081967,0.163934426,0.295081967
ISL,61,0.92920589,0.971141851,1.041890711,0.949697579,0.957683812,0.993580172,0.772302735,1.154816639,1.076500088,1.156742855,0.996437668,0.032786885,0.098360656,0.06557377,0.295081967,0.245901639,0.262295082,0.016393443,0.114754098,0.049180328,0.180327869,0.360655738,0.278688525,0.016393443,0.114754098,0.06557377,0.032786885,0.37704918,0.393442623,0,0.147540984,0.049180328,0.229508197,0.31147541,0.262295082,0.032786885,0.163934426,0.032786885,0.081967213,0.295081967,0.393442623,0,0.131147541,0.049180328,0.180327869,0.344262295,0.295081967,0.032786885,0.213114754,0.081967213,0.344262295,0.147540984,0.180327869,0,0.081967213,0,0.114754098,0.213114754,0.590163934,0.032786885,0.114754098,0,0.081967213,0.213114754,0.557377049,0,0.098360656,0,0.081967213,0.196721311,0.62295082,0,0.131147541,0.016393443,0.245901639,0.262295082,0.344262295
IRL,56,0.885751404,0.924225878,0.999026079,0.908412538,1.150306117,0.971015634,0.795901317,1.161471661,1.259760896,0.873155749,1.070972727,0.017857143,0.178571429,0.125,0.303571429,0.25,0.125,0.017857143,0.160714286,0.142857143,0.321428571,0.232142857,0.125,0.017857143,0.142857143,0.089285714,0.232142857,0.321428571,0.196428571,0,0.196428571,0.142857143,0.267857143,0.196428571,0.196428571,0,0.125,0.035714286,0.142857143,0.267857143,0.428571429,0,0.178571429,0.071428571,0.267857143,0.303571429,0.178571429,0,0.321428571,0.125,0.232142857,0.142857143,0.178571429,0,0.089285714,0.053571429,0.178571429,0.25,0.428571429,0,0.107142857,0.017857143,0.053571429,0.321428571,0.5,0,0.285714286,0.089285714,0.196428571,0.232142857,0.196428571,0.017857143,0.142857143,0.071428571,0.142857143,0.285714286,0.339285714
