country,year,y1,y2,x1,x2,e
Australia,1971,71.6,71.6,821.082,821.082,0
Australia,1972,71.6,72,821.082,825.388,0
Australia,1973,72,72,825.388,836.636,0
Australia,1974,72,71.9,836.636,952.533,0
Australia,1975,71.9,72.7,952.533,1111.815,0
Australia,1976,72.7,72.8,1111.815,1135.866,0
Australia,1977,72.8,73.3,1135.866,1174.613,0
Australia,1978,73.3,73.7,1174.613,1179.662,0
Australia,1979,73.7,74.3,1179.662,1165.518,0
Australia,1980,74.3,74.5,1165.518,1175.567,0
Australia,1981,74.5,74.9,1175.567,1183.187,0
Australia,1982,74.9,74.7,1183.187,1184.459,0
Australia,1983,74.7,75.5,1184.459,1219.082,0
Australia,1984,75.5,75.8,1219.082,1268.452,0
Australia,1985,75.8,75.6,1268.452,1334.171,0
Australia,1986,75.6,76,1334.171,1395.724,0
Australia,1987,76,76.3,1395.724,1398.539,0
Australia,1988,76.3,76.3,1398.539,1422.897,0
Australia,1989,76.3,76.5,1422.897,1452.548,0
Australia,1990,76.5,77,1452.548,1494.439,0
Australia,1991,77,77.4,1494.439,1540.713,0
Australia,1992,77.4,77.5,1540.713,1601.386,0
Australia,1993,77.5,78,1601.386,1661.636,0
Australia,1994,78,78,1661.636,1724.505,0
Australia,1995,78,77.9,1724.505,1784.879,0
Australia,1996,77.9,78.2,1784.879,1878.241,0
Australia,1997,78.2,78.5,1878.241,1954.061,0
Australia,1998,78.5,78.7,1954.061,2079.679,0
Australia,1999,78.7,79,2079.679,2171.489,0
Australia,2000,79,79.3,2171.489,2266.448,0
Australia,2001,79.3,79.7,2266.448,2346.26,0
Australia,2002,79.7,80,2346.26,2460.924,0
Australia,2003,80,80.3,2460.924,2510.662,0
Australia,2004,80.3,80.5,2510.662,2630.814,0
Australia,2005,80.5,80.9,2630.814,2641.232,0
Australia,2006,80.9,81.1,2641.232,2709.534,0
Australia,2007,81.1,81.3,2709.534,2784.175,0
Australia,2008,81.3,81.5,2784.175,2827.048,0
Austria,1970,70,70,702.037,702.037,0
Austria,1971,70,70.2,702.037,732.77,0
Austria,1972,70.2,70.5,732.77,766.674,0
Austria,1973,70.5,71.1,766.674,824.414,0
Austria,1974,71.1,71.1,824.414,877.783,0
Austria,1975,71.1,71.2,877.783,1129.014,0
Austria,1976,71.2,71.7,1129.014,1215.465,0
Austria,1977,71.7,72,1215.465,1260.508,0
Austria,1978,72,72.1,1260.508,1325.616,0
Austria,1979,72.1,72.4,1325.616,1388.922,0
Austria,1980,72.4,72.6,1388.922,1428.707,0
Austria,1981,72.6,72.9,1428.707,1254.291,0
Austria,1982,72.9,73,1254.291,1258.496,0
Austria,1983,73,73.1,1258.496,1262.378,0
Austria,1984,73.1,73.7,1262.378,1275.407,0
Austria,1985,73.7,73.9,1275.407,1325.07,0
Austria,1986,73.9,74.4,1325.07,1403.465,0
Austria,1987,74.4,74.8,1403.465,1450.699,0
Austria,1988,74.8,75.3,1450.699,1495.908,0
Austria,1989,75.3,75.4,1495.908,1586.623,0
Austria,1990,75.4,75.6,1586.623,1951.86,0
Austria,1991,75.6,75.7,1951.86,2007.38,0
Austria,1992,75.7,75.9,2007.38,2087.173,0
Austria,1993,75.9,76.1,2087.173,2224.061,0
Austria,1994,76.1,76.5,2224.061,2350.716,0
Austria,1995,76.5,76.7,2350.716,2384.325,0
Austria,1996,76.7,77,2384.325,2422.684,0
Austria,1997,77,77.4,2422.684,2559.924,0
Austria,1998,77.4,77.7,2559.924,2693.319,0
Austria,1999,77.7,77.9,2693.319,2815.351,0
Austria,2000,77.9,78.2,2815.351,2861.543,0
Austria,2001,78.2,78.6,2861.543,2906.393,0
Austria,2002,78.6,78.7,2906.393,2947.114,0
Austria,2003,78.7,78.7,2947.114,3009.311,0
Austria,2004,78.7,79.2,3009.311,3101.674,0
Austria,2005,79.2,79.4,3101.674,3154.562,0
Austria,2006,79.4,79.9,3154.562,3207.302,0
Austria,2007,79.9,80.2,3207.302,3314.735,0
Austria,2008,80.2,80.5,3314.735,3403.555,0
Austria,2009,80.5,80.4,3403.555,3477.439,0
Belgium,1970,71,71,541.118,541.118,0
Belgium,1971,71,71.1,541.118,572.963,0
Belgium,1972,71.1,71.5,572.963,624.311,0
Belgium,1973,71.5,71.7,624.311,705.652,0
Belgium,1974,71.7,72.1,705.652,743.843,0
Belgium,1975,72.1,72,743.843,913.785,0
Belgium,1976,72,72.2,913.785,999.795,0
Belgium,1977,72.2,72.9,999.795,1086.968,0
Belgium,1978,72.9,72.8,1086.968,1150.956,0
Belgium,1979,72.8,73.3,1150.956,1173.55,0
Belgium,1980,73.3,73.3,1173.55,1183.216,0
Belgium,1981,73.3,73.7,1183.216,1259.139,0
Belgium,1982,73.7,74,1259.139,1310.863,0
Belgium,1983,74,74,1310.863,1347.251,0
Belgium,1984,74,74.5,1347.251,1349.221,0
Belgium,1985,74.5,74.6,1349.221,1381.077,0
Belgium,1986,74.6,74.8,1381.077,1440.766,0
Belgium,1987,74.8,75.4,1440.766,1495.159,0
Belgium,1988,75.4,75.7,1495.159,1560.592,0
Belgium,1989,75.7,75.7,1560.592,1596.112,0
Belgium,1990,75.7,76.1,1596.112,1651.268,0
Belgium,1991,76.1,76.3,1651.268,1748.416,0
Belgium,1992,76.3,76.4,1748.416,1810.701,0
Belgium,1993,76.4,76.4,1810.701,1815.257,0
Belgium,1994,76.4,76.8,1815.257,1819.291,0
Belgium,1995,76.8,76.9,1819.291,1848.57,0
Belgium,1996,76.9,77.3,1848.57,1944.386,0
Belgium,1997,77.3,77.5,1944.386,1975.457,0
Belgium,1998,77.5,77.5,1975.457,2040.536,0
Belgium,1999,77.5,77.7,2040.536,2158.892,0
Belgium,2000,77.7,77.8,2158.892,2245.028,0
Belgium,2001,77.8,78,2245.028,2302.817,0
Belgium,2002,78,78.2,2302.817,2371.254,0
Belgium,2003,78.2,78.2,2371.254,2818.925,0
Belgium,2004,78.2,79,2818.925,2933.342,0
Belgium,2005,79,79,2933.342,2937.439,0
Belgium,2006,79,79.5,2937.439,2860.869,0
Belgium,2007,79.5,79.8,2860.869,2939.789,0
Belgium,2008,79.8,79.8,2939.789,3072.771,0
Belgium,2009,79.8,80,3072.771,3200.317,0
Canada,1971,72.8,72.8,1133.316,1133.316,0
Canada,1972,72.8,73,1133.316,1165.4666,1
Canada,1973,73,73.2,1165.4666,1197.6172,1
Canada,1974,73.2,73.4,1197.6172,1229.7678,1
Canada,1975,73.4,73.6,1229.7678,1261.9184,1
Canada,1976,73.6,73.8,1261.9184,1294.069,0
Canada,1977,73.8,74.23333333,1294.069,1317.512333,1
Canada,1978,74.23333333,74.66666667,1317.512333,1340.955667,1
Canada,1979,74.66666667,75.1,1340.955667,1364.399,0
Canada,1980,75.1,75.3,1364.399,1423.403,0
Canada,1981,75.3,75.5,1423.403,1496.001,0
Canada,1982,75.5,75.9,1496.001,1595.895,0
Canada,1983,75.9,76.2,1595.895,1658.008,0
Canada,1984,76.2,76.5,1658.008,1715.824,0
Canada,1985,76.5,76.5,1715.824,1787.307,0
Canada,1986,76.5,76.6,1787.307,1866.697,0
Canada,1987,76.6,77,1866.697,1902.824,0
Canada,1988,77,77,1902.824,1956.326,0
Canada,1989,77,77.3,1956.326,2021.928,0
Canada,1990,77.3,77.6,2021.928,2098.669,0
Canada,1991,77.6,77.8,2098.669,2188.958,0
Canada,1992,77.8,78,2188.958,2244.065,0
Canada,1993,78,78,2244.065,2244.0125,1
Canada,1994,78,78,2244.0125,2243.96,0
Canada,1995,78,78,2243.96,2201.035,0
Canada,1996,78,78.2,2201.035,2161.524,0
Canada,1997,78.2,78.3,2161.524,2221.264,0
Canada,1998,78.3,78.5,2221.264,2358.797,0
Canada,1999,78.5,78.8,2358.797,2432.376,0
Canada,2000,78.8,79,2432.376,2518.86,0
Canada,2001,79,79.3,2518.86,2672.132,0
Canada,2002,79.3,79.5,2672.132,2801.607,0
Canada,2003,79.5,79.7,2801.607,2880.637,0
Canada,2004,79.7,79.9,2880.637,2939.182,0
Canada,2005,79.9,80.1,2939.182,3013.398,0
Canada,2006,80.1,80.4,3013.398,3111.086,0
Canada,2007,80.4,80.7,3111.086,3169.993,0
Chile,1995,74.8,74.8,432.387,432.387,0
Chile,1996,74.8,75.2,432.387,498.251,0
Chile,1997,75.2,75.7,498.251,534.435,0
Chile,1998,75.7,75.8,534.435,588.576,0
Chile,1999,75.8,76,588.576,593.186,0
Chile,2000,76,76.8,593.186,615.06,0
Chile,2001,76.8,76.8,615.06,641.256,0
Chile,2002,76.8,77.4,641.256,646.08,0
Chile,2003,77.4,77.4,646.08,735.882,0
Chile,2004,77.4,77.4,735.882,731.149,0
Chile,2005,77.4,77.9,731.149,746.853,0
Chile,2006,77.9,78.4,746.853,741.108,0
Chile,2007,78.4,77.8,741.108,799.386,0
Chile,2008,77.8,77.8,799.386,891.962,0
Chile,2009,77.8,78.4,891.962,972.12,0
Czech Republic,1990,71.5,71.5,680.955,680.955,0
Czech Republic,1991,71.5,72,680.955,635.629,0
Czech Republic,1992,72,72.4,635.629,652.893,0
Czech Republic,1993,72.4,72.9,652.893,862.433,0
Czech Republic,1994,72.9,73.2,862.433,899.008,0
Czech Republic,1995,73.2,73.3,899.008,969.507,0
Czech Republic,1996,73.3,73.9,969.507,968.062,0
Czech Republic,1997,73.9,74,968.062,955.277,0
Czech Republic,1998,74,74.7,955.277,943.887,0
Czech Republic,1999,74.7,74.9,943.887,947.517,0
Czech Republic,2000,74.9,75.1,947.517,981.401,0
Czech Republic,2001,75.1,75.3,981.401,1031.746,0
Czech Republic,2002,75.3,75.4,1031.746,1116.229,0
Czech Republic,2003,75.4,75.3,1116.229,1214.671,0
Czech Republic,2004,75.3,75.9,1214.671,1225.021,0
Czech Republic,2005,75.9,76,1225.021,1309.258,0
Czech Republic,2006,76,76.7,1309.258,1340.649,0
Czech Republic,2007,76.7,77,1340.649,1372.98,0
Czech Republic,2008,77,77.3,1372.98,1465.883,0
Czech Republic,2009,77.3,77.3,1465.883,1618.614,0
Denmark,1971,73.3,73.3,1275.285,1275.285,0
Denmark,1972,73.3,73.4,1275.285,1333.572,0
Denmark,1973,73.4,73.5,1333.572,1339.34,0
Denmark,1974,73.5,73.7,1339.34,1443.516,0
Denmark,1975,73.7,74,1443.516,1460.7,0
Denmark,1976,74,74,1460.7,1526.234,0
Denmark,1977,74,74.2,1526.234,1515.669,0
Denmark,1978,74.2,74.5,1515.669,1565.948,0
Denmark,1979,74.5,74.3,1565.948,1641.742,0
Denmark,1980,74.3,74.3,1641.742,1693.692,0
Denmark,1981,74.3,74.2,1693.692,1717.428,0
Denmark,1982,74.2,74.4,1717.428,1783.774,0
Denmark,1983,74.4,74.5,1783.774,1777.059,0
Denmark,1984,74.5,74.5,1777.059,1763.869,0
Denmark,1985,74.5,74.6,1763.869,1839.357,0
Denmark,1986,74.6,74.7,1839.357,1853.157,0
Denmark,1987,74.7,74.8,1853.157,1926.257,0
Denmark,1988,74.8,74.9,1926.257,1957.007,0
Denmark,1989,74.9,74.9,1957.007,1929.622,0
Denmark,1990,74.9,74.9,1929.622,1932.495,0
Denmark,1991,74.9,75.3,1932.495,1924.205,0
Denmark,1992,75.3,75.3,1924.205,1968.871,0
Denmark,1993,75.3,75.2,1968.871,2047.4,0
Denmark,1994,75.2,75.5,2047.4,2101.648,0
Denmark,1995,75.5,75.3,2101.648,2077.241,0
Denmark,1996,75.3,75.7,2077.241,2144.982,0
Denmark,1997,75.7,76.1,2144.982,2187.811,0
Denmark,1998,76.1,76.5,2187.811,2229.299,0
Denmark,1999,76.5,76.6,2229.299,2501.54,0
Denmark,2000,76.6,76.8,2501.54,2507.587,0
Denmark,2001,76.8,77,2507.587,2632.947,0
Denmark,2002,77,77.1,2632.947,2703.176,0
Denmark,2003,77.1,77.4,2703.176,2758.238,0
Denmark,2004,77.4,77.8,2758.238,2863.238,0
Denmark,2005,77.8,78.2,2863.238,2953.985,0
Denmark,2006,78.2,78.4,2953.985,3091.906,0
Denmark,2007,78.4,78.4,3091.906,3147.559,0
Denmark,2008,78.4,78.8,3147.559,3177.294,0
Denmark,2009,78.8,79,3177.294,3368.231,0
Estonia,1999,70.2,70.2,522.417,522.417,0
Estonia,2000,70.2,70.6,522.417,522.14,0
Estonia,2001,70.6,70.4,522.14,518.42,0
Estonia,2002,70.4,71,518.42,560.792,0
Estonia,2003,71,71.5,560.792,623.48,0
Estonia,2004,71.5,72,623.48,689.259,0
Estonia,2005,72,72.7,689.259,739.113,0
Estonia,2006,72.7,72.9,739.113,817.566,0
Estonia,2007,72.9,72.9,817.566,913.99,0
Estonia,2008,72.9,73.9,913.99,1012.494,0
Estonia,2009,73.9,75,1012.494,1001.071,0
Finland,1970,70.8,70.8,664.589,664.589,0
Finland,1971,70.8,70,664.589,698.829,0
Finland,1972,70,70.7,698.829,763.678,0
Finland,1973,70.7,71.2,763.678,794.722,0
Finland,1974,71.2,71.2,794.722,808.883,0
Finland,1975,71.2,71.7,808.883,899.376,0
Finland,1976,71.7,72,899.376,941.659,0
Finland,1977,72,72.4,941.659,973.175,0
Finland,1978,72.4,73,973.175,984.977,0
Finland,1979,73,73.2,984.977,1018.075,0
Finland,1980,73.2,73.6,1018.075,1055.895,0
Finland,1981,73.6,73.9,1055.895,1093.981,0
Finland,1982,73.9,74.5,1093.981,1142.919,0
Finland,1983,74.5,74.4,1142.919,1193.186,0
Finland,1984,74.4,74.7,1193.186,1228.03,0
Finland,1985,74.7,74.4,1228.03,1329.414,0
Finland,1986,74.4,74.8,1329.414,1376.544,0
Finland,1987,74.8,74.8,1376.544,1447.886,0
Finland,1988,74.8,74.8,1447.886,1477.347,0
Finland,1989,74.8,75,1477.347,1556.986,0
Finland,1990,75,75,1556.986,1681.413,0
Finland,1991,75,75.4,1681.413,1793.537,0
Finland,1992,75.4,75.6,1793.537,1752.613,0
Finland,1993,75.6,75.8,1752.613,1585.032,0
Finland,1994,75.8,76.6,1585.032,1525.712,0
Finland,1995,76.6,76.6,1525.712,1614.9,0
Finland,1996,76.6,76.9,1614.9,1705.989,0
Finland,1997,76.9,77.1,1705.989,1734.823,0
Finland,1998,77.1,77.3,1734.823,1731.285,0
Finland,1999,77.3,77.5,1731.285,1800.525,0
Finland,2000,77.5,77.7,1800.525,1852.894,0
Finland,2001,77.7,78.1,1852.894,1944.895,0
Finland,2002,78.1,78.3,1944.895,2077.563,0
Finland,2003,78.3,78.5,2077.563,2207.122,0
Finland,2004,78.5,78.9,2207.122,2307.596,0
Finland,2005,78.9,79.1,2307.596,2430.237,0
Finland,2006,79.1,79.5,2430.237,2502.165,0
Finland,2007,79.5,79.6,2502.165,2529.975,0
Finland,2008,79.6,79.9,2529.975,2638.111,0
Finland,2009,79.9,80,2638.111,2640.681,0
France,1970,72.2,72.2,719.966,719.966,0
France,1971,72.2,73.48,719.966,1157.0844,1
France,1972,73.48,73.64,1157.0844,1211.7242,1
France,1973,73.64,73.8,1211.7242,1266.364,1
France,1974,73.8,73.96,1266.364,1321.0038,1
France,1975,73.96,73,1321.0038,993.165,0
France,1976,73,75.08,993.165,1428.5218,1
France,1977,75.08,75.34,1428.5218,1482.9414,1
France,1978,75.34,75.6,1482.9414,1537.361,1
France,1979,75.6,75.86,1537.361,1591.7806,1
France,1980,75.86,74.3,1591.7806,1265.263,0
France,1981,74.3,75.9,1265.263,1671.5078,1
France,1982,75.9,76.1,1671.5078,1722.2884,1
France,1983,76.1,76.3,1722.2884,1773.069,1
France,1984,76.3,76.5,1773.069,1823.8496,1
France,1985,76.5,75.3,1823.8496,1519.166,0
France,1986,75.3,77.7,1519.166,1991.4476,1
France,1987,77.7,78,1991.4476,2050.4828,1
France,1988,78,78.3,2050.4828,2109.518,1
France,1989,78.3,78.6,2109.518,2168.5532,1
France,1990,78.6,76.8,2168.5532,1814.342,0
France,1991,76.8,77,1814.342,1883.496,0
France,1992,77,77.3,1883.496,1954.923,0
France,1993,77.3,77.3,1954.923,2028.625,0
France,1994,77.3,77.7,2028.625,2055.692,0
France,1995,77.7,77.8,2055.692,2336.092,0
France,1996,77.8,78,2336.092,2353.858,0
France,1997,78,78.4,2353.858,2365.818,0
France,1998,78.4,78.5,2365.818,2415.636,0
France,1999,78.5,78.7,2415.636,2491.008,0
France,2000,78.7,79,2491.008,2553.121,0
France,2001,79,79.2,2553.121,2614.692,0
France,2002,79.2,79.3,2614.692,2705.125,0
France,2003,79.3,79.3,2705.125,2809.304,0
France,2004,79.3,80.3,2809.304,2890.011,0
France,2005,80.3,80.3,2890.011,2947.707,0
France,2006,80.3,80.7,2947.707,2975.436,0
France,2007,80.7,80.9,2975.436,3020.814,0
France,2008,80.9,81,3020.814,3032.321,0
France,2009,81,81,3032.321,3115.361,0
Germany,1970,70.5,70.5,944.958,944.958,0
Germany,1971,70.5,70.8,944.958,1040.567,0
Germany,1972,70.8,71,1040.567,1132.693,0
Germany,1973,71,71.2,1132.693,1243.095,0
Germany,1974,71.2,71.5,1243.095,1345.615,0
Germany,1975,71.5,71.4,1345.615,1454.758,0
Germany,1976,71.4,71.8,1454.758,1534.384,0
Germany,1977,71.8,72.4,1534.384,1570.739,0
Germany,1978,72.4,72.4,1570.739,1641.386,0
Germany,1979,72.4,72.8,1641.386,1672.67,0
Germany,1980,72.8,72.9,1672.67,1736.691,0
Germany,1981,72.9,73.2,1736.691,1800.679,0
Germany,1982,73.2,73.5,1800.679,1769.02,0
Germany,1983,73.5,73.8,1769.02,1798.02,0
Germany,1984,73.8,74.2,1798.02,1873.172,0
Germany,1985,74.2,74.3,1873.172,1953.871,0
Germany,1986,74.3,74.5,1953.871,1972.975,0
Germany,1987,74.5,75,1972.975,2023.739,0
Germany,1988,75,75.2,2023.739,2126.569,0
Germany,1989,75.2,75.4,2126.569,2040.609,0
Germany,1990,75.4,75.3,2040.609,2093.591,0
Germany,1991,75.3,75.65,2093.591,2153.33,1
Germany,1992,75.65,76,2153.33,2213.069,0
Germany,1993,76,76.1,2213.069,2180.029,0
Germany,1994,76.1,76.4,2180.029,2277.755,0
Germany,1995,76.4,76.6,2277.755,2382.987,0
Germany,1996,76.6,76.8,2382.987,2470.698,0
Germany,1997,76.8,77.3,2470.698,2472.629,0
Germany,1998,77.3,77.7,2472.629,2525.902,0
Germany,1999,77.7,77.9,2525.902,2584.205,0
Germany,2000,77.9,78.2,2584.205,2668.335,0
Germany,2001,78.2,78.5,2668.335,2730.644,0
Germany,2002,78.5,78.5,2730.644,2784.504,0
Germany,2003,78.5,78.6,2784.504,2830.496,0
Germany,2004,78.6,79.2,2830.496,2801.691,0
Germany,2005,79.2,79.4,2801.691,2857.012,0
Germany,2006,79.4,79.8,2857.012,2915.835,0
Germany,2007,79.8,80,2915.835,2962.535,0
Germany,2008,80,80.2,2962.535,3056.588,0
Germany,2009,80.2,80.3,3056.588,3180.273,0
Greece,1970,73.8,73.8,583.745,583.745,0
Greece,1971,73.8,78.75,583.745,1655.6609,1
Greece,1972,78.75,78.9,1655.6609,1688.1432,1
Greece,1973,78.9,79.05,1688.1432,1720.6255,1
Greece,1974,79.05,79.2,1720.6255,1753.1078,1
Greece,1975,79.2,79.35,1753.1078,1785.5901,1
Greece,1976,79.35,79.5,1785.5901,1818.0724,1
